Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
International migrant stock (% of population),SM.POP.TOTL.ZS,Antigua and Barbuda,ATG,19.43107292,29.71229137,..,..,..,30.27753259,..,..,..,..,30.58550611,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Argentina,ARG,5.041039128,4.156300218,..,..,..,4.380958388,..,..,..,..,4.805292335,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Armenia,ARM,18.58520973,21.38748505,..,..,..,7.476305013,..,..,..,..,6.335892888,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Aruba,ABW,23.24129497,33.13302076,..,..,..,33.78741498,..,..,..,..,34.76210186,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Australia,AUS,23.13413643,22.95594484,..,..,..,26.54431424,..,..,..,..,28.21840969,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Austria,AUT,10.29302137,12.37810655,..,..,..,15.20488714,..,..,..,..,17.46572625,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Azerbaijan,AZE,4.996880068,4.034865853,..,..,..,3.042903911,..,..,..,..,2.709061584,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Bahamas, The",BHS,10.47640225,12.23736199,..,..,..,15.16947039,..,..,..,..,15.28430309,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Bahrain,BHR,34.92571742,35.89400994,..,..,..,52.15619522,..,..,..,..,51.12678501,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Bangladesh,BGD,0.831846493,0.752473674,..,..,..,0.887465112,..,..,..,..,0.883753735,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Barbados,BRB,9.226727707,10.53372764,..,..,..,11.74141348,..,..,..,..,12.12990166,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Belarus,BLR,12.20659768,11.28998986,..,..,..,11.48718906,..,..,..,..,11.40401056,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Belgium,BEL,8.934811256,8.310648807,..,..,..,9.632626891,..,..,..,..,12.28353319,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Belize,BLZ,16.21097082,14.75383321,..,..,..,14.41501948,..,..,..,..,14.99080123,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Benin,BEN,1.523852637,1.924348207,..,..,..,2.200540958,..,..,..,..,2.255540965,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Bermuda,BMU,25.73895062,27.59116108,..,..,..,29.52747287,..,..,..,..,30.84639701,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Bhutan,BTN,4.445710124,5.696161025,..,..,..,6.722703076,..,..,..,..,6.595769395,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Bolivia,BOL,1.075778203,1.111072207,..,..,..,1.23858606,..,..,..,..,1.333267442,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Bosnia and Herzegovina,BIH,1.237023404,2.187046354,..,..,..,1.011457378,..,..,..,..,0.91336484,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Botswana,BWA,1.993746983,3.28600081,..,..,..,5.904393478,..,..,..,..,7.100334367,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Brazil,BRA,0.530953063,0.389447557,..,..,..,0.298351264,..,..,..,..,0.3433132,..
International migrant stock (% of population),SM.POP.TOTL.ZS,British Virgin Islands,VGB,48.81827572,58.41205251,..,..,..,57.15020387,..,..,..,..,57.46920344,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Brunei Darussalam,BRN,28.48925231,29.13170012,..,..,..,25.57500343,..,..,..,..,24.27597191,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Bulgaria,BGR,0.243846835,0.54196545,..,..,..,1.029889851,..,..,..,..,1.428196392,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Burkina Faso,BFA,3.968399619,4.480026782,..,..,..,4.311036046,..,..,..,..,3.892039853,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Burundi,BDI,5.934466995,1.85645995,..,..,..,2.486588,..,..,..,..,2.565632229,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Cabo Verde,CPV,2.617096842,2.513350823,..,..,..,2.930998269,..,..,..,..,2.867232018,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Cambodia,KHM,0.425969735,1.19762369,..,..,..,0.570727951,..,..,..,..,0.474794451,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Cameroon,CMR,2.198310754,1.433871894,..,..,..,1.403990527,..,..,..,..,1.636313704,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Canada,CAN,15.66498834,17.95300441,..,..,..,20.54501101,..,..,..,..,21.80166365,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Cayman Islands,CYM,37.53448758,46.18687777,..,..,..,43.33891801,..,..,..,..,39.56509414,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Central African Republic,CAF,2.288558365,3.315282036,..,..,..,2.102734932,..,..,..,..,1.665172192,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Chad,TCD,1.2477631,1.256394186,..,..,..,3.504629139,..,..,..,..,3.682771371,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Channel Islands,CHI,43.83339613,43.23482938,..,..,..,48.61482739,..,..,..,..,50.28162647,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Chile,CHL,0.818045412,1.168935242,..,..,..,2.171231019,..,..,..,..,2.615513217,..
International migrant stock (% of population),SM.POP.TOTL.ZS,China,CHN,0.032596494,0.040003478,..,..,..,0.063376645,..,..,..,..,0.071076396,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Colombia,COL,0.304266835,0.271282822,..,..,..,0.270636192,..,..,..,..,0.276047227,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Comoros,COM,3.391353362,2.519463352,..,..,..,1.805938213,..,..,..,..,1.592316297,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Congo, Dem. Rep.",COD,2.157140374,1.549235583,..,..,..,0.893177895,..,..,..,..,0.706246281,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Congo, Rep.",COG,5.430496211,9.809443956,..,..,..,10.32073167,..,..,..,..,8.505799369,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Costa Rica,CRI,13.48930263,7.92128291,..,..,..,8.919244235,..,..,..,..,8.771009911,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Cote d'Ivoire,CIV,14.93045855,12.07253468,..,..,..,10.4073887,..,..,..,..,9.582598655,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Croatia,HRV,9.953952517,13.21790604,..,..,..,13.28061996,..,..,..,..,13.60471399,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Cuba,CUB,0.326542546,0.160280124,..,..,..,0.13103843,..,..,..,..,0.117089665,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Curacao,CUW,..,..,..,..,..,23.45923241,..,..,..,..,23.92511593,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Cyprus,CYP,5.714110546,8.489038861,..,..,..,17.02686908,..,..,..,..,16.83403415,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Czech Republic,CZE,1.069325816,2.151308437,..,..,..,3.786042643,..,..,..,..,3.84222568,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Denmark,DNK,4.575365949,6.950287199,..,..,..,9.182917762,..,..,..,..,10.09899135,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Djibouti,DJI,20.77330732,13.90980982,..,..,..,12.22613812,..,..,..,..,12.65412041,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Dominica,DMA,3.551488834,5.343073236,..,..,..,8.100664634,..,..,..,..,9.246009906,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Dominican Republic,DOM,4.052969759,4.153061509,..,..,..,3.977780119,..,..,..,..,3.947079853,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Ecuador,ECU,0.769840924,1.199840426,..,..,..,2.178591966,..,..,..,..,2.400299101,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Egypt, Arab Rep.",EGY,0.3080078,0.253826357,..,..,..,0.360446632,..,..,..,..,0.537267287,..
International migrant stock (% of population),SM.POP.TOTL.ZS,El Salvador,SLV,0.901737635,0.545662335,..,..,..,0.667803189,..,..,..,..,0.686271613,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Equatorial Guinea,GNQ,0.726091323,0.850825774,..,..,..,1.188126964,..,..,..,..,1.280974132,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Eritrea,ERI,0.377435066,0.366377042,..,..,..,0.334267018,..,..,..,..,..,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Estonia,EST,24.40376409,17.83317669,..,..,..,16.35701518,..,..,..,..,15.41630922,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Eswatini,SWZ,8.355472408,2.148601834,..,..,..,2.554251442,..,..,..,..,2.453747951,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Ethiopia,ETH,2.404202801,0.920154797,..,..,..,0.648364823,..,..,..,..,1.079526012,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Faroe Islands,FRO,8.921321646,7.728377535,..,..,..,10.4927214,..,..,..,..,11.44629557,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Fiji,FJI,1.823020315,1.567879609,..,..,..,1.552528513,..,..,..,..,1.541341374,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Finland,FIN,1.268472869,2.631188518,..,..,..,4.622749475,..,..,..,..,5.739683257,..
International migrant stock (% of population),SM.POP.TOTL.ZS,France,FRA,10.35638452,10.5725136,..,..,..,11.43003678,..,..,..,..,12.08847938,..
International migrant stock (% of population),SM.POP.TOTL.ZS,French Polynesia,PYF,13.02112215,12.78264571,..,..,..,11.80310746,..,..,..,..,10.63006606,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Gabon,GAB,13.43947981,15.88009562,..,..,..,15.82374366,..,..,..,..,15.55585953,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Gambia, The",GMB,12.88411679,14.85226588,..,..,..,10.97240287,..,..,..,..,9.670886483,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Georgia,GEO,6.195620065,4.608323104,..,..,..,4.286972734,..,..,..,..,4.220248352,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Germany,DEU,7.518127589,10.98055978,..,..,..,14.42860161,..,..,..,..,14.8790513,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Ghana,GHA,1.126935124,1.017801121,..,..,..,1.38588982,..,..,..,..,1.457397152,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Gibraltar,GIB,32.45630381,29.44682096,..,..,..,33.74007549,..,..,..,..,34.34522147,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Greece,GRC,6.101017032,10.14845493,..,..,..,11.35985666,..,..,..,..,11.34237737,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Greenland,GRL,16.93433808,12.02513618,..,..,..,11.01050472,..,..,..,..,10.69483501,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Grenada,GRD,4.427434933,6.716197599,..,..,..,6.66813149,..,..,..,..,6.606131524,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Guam,GUM,53.459481,47.68618665,..,..,..,47.30055193,..,..,..,..,44.78853342,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Guatemala,GTM,2.885359435,0.41167251,..,..,..,0.450602932,..,..,..,..,0.467187672,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Guinea,GIN,6.689020799,6.365092597,..,..,..,1.862544843,..,..,..,..,1.811566559,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Guinea-Bissau,GNB,1.455016436,1.554595178,..,..,..,1.2887683,..,..,..,..,1.210903718,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Guyana,GUY,0.568527327,1.160036539,..,..,..,1.74232308,..,..,..,..,2.005514382,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Haiti,HTI,0.268798841,0.302156856,..,..,..,0.351053445,..,..,..,..,0.3690482,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Honduras,HND,5.515051608,0.455880751,..,..,..,0.363652113,..,..,..,..,0.347613516,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Hong Kong SAR, China",HKG,38.28891926,39.34725751,..,..,..,39.75008472,..,..,..,..,38.94993992,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Hungary,HUN,3.346249001,2.904476897,..,..,..,4.359780333,..,..,..,..,4.562465252,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Iceland,ISL,3.760938665,5.651212244,..,..,..,11.03344841,..,..,..,..,11.3901495,..
International migrant stock (% of population),SM.POP.TOTL.ZS,India,IND,0.860692478,0.608579705,..,..,..,0.441598735,..,..,..,..,0.399752709,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Indonesia,IDN,0.256624867,0.138180206,..,..,..,0.12640704,..,..,..,..,0.127675543,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Iran, Islamic Rep.",IRN,7.64048857,4.257862354,..,..,..,3.719105124,..,..,..,..,3.446397535,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Iraq,IRQ,0.478520556,0.893010492,..,..,..,0.380291586,..,..,..,..,0.971576098,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Ireland,IRL,6.397816961,9.125217945,..,..,..,15.82172743,..,..,..,..,15.91693657,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Isle of Man,IMN,49.44959609,50.77988699,..,..,..,51.52205106,..,..,..,..,51.51629073,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Israel,ISR,36.28907701,30.7848016,..,..,..,26.28730812,..,..,..,..,24.94690004,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Italy,ITA,2.505314337,3.712679568,..,..,..,9.7131844,..,..,..,..,9.680767742,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Jamaica,JAM,0.858200541,0.959657243,..,..,..,0.863729105,..,..,..,..,0.829367047,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Japan,JPN,0.879862815,1.341583243,..,..,..,1.676212943,..,..,..,..,1.614775057,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Jordan,JOR,34.13324528,40.43743482,..,..,..,41.77692181,..,..,..,..,40.9771116,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Kazakhstan,KAZ,21.89470108,19.19732798,..,..,..,20.44448453,..,..,..,..,20.12330509,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Kenya,KEN,1.267973626,2.250508759,..,..,..,2.298531555,..,..,..,..,2.354722885,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Kiribati,KIR,2.985734212,2.70478402,..,..,..,2.794014496,..,..,..,..,2.80458625,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Korea, Dem. People’s Rep.",PRK,0.168873934,0.158417928,..,..,..,0.179628943,..,..,..,..,0.192635219,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Korea, Rep.",KOR,0.100104128,0.52845208,..,..,..,1.872630337,..,..,..,..,2.639159354,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Kuwait,KWT,52.18449101,58.44299212,..,..,..,61.17187503,..,..,..,..,73.63955073,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Kyrgyz Republic,KGZ,14.1786942,7.862155262,..,..,..,4.236584527,..,..,..,..,3.440796423,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Lao PDR,LAO,0.538297238,0.410789763,..,..,..,0.338389124,..,..,..,..,0.327020359,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Latvia,LVA,24.24964855,18.13963511,..,..,..,15.00995686,..,..,..,..,13.35324026,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Lebanon,LBN,19.37437362,21.41674239,..,..,..,18.92150063,..,..,..,..,34.1456803,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Lesotho,LSO,0.515794969,0.332233431,..,..,..,0.319011472,..,..,..,..,0.307818842,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Liberia,LBR,4.515908444,5.251372076,..,..,..,2.504528814,..,..,..,..,2.526491982,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Libya,LBY,10.39180215,10.63158952,..,..,..,10.91655086,..,..,..,..,12.28244987,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Liechtenstein,LIE,37.94051139,46.52064179,..,..,..,61.58892932,..,..,..,..,62.59625376,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Lithuania,LTU,9.446061049,6.147104742,..,..,..,5.148270722,..,..,..,..,4.726089623,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Luxembourg,LUX,29.80588653,32.04488807,..,..,..,32.12158562,..,..,..,..,43.96413394,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Macao SAR, China",MAC,56.99945793,55.75065929,..,..,..,59.57547893,..,..,..,..,58.32190277,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Macedonia, FYR",MKD,4.766091231,6.245617035,..,..,..,6.28870713,..,..,..,..,6.289774173,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Madagascar,MDG,0.207149243,0.149515926,..,..,..,0.137123538,..,..,..,..,0.132347777,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Malawi,MWI,11.98559081,2.078220496,..,..,..,1.474100165,..,..,..,..,1.249811795,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Malaysia,MYS,3.821406256,5.453381918,..,..,..,8.556379025,..,..,..,..,8.289348916,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Maldives,MDV,3.893287451,9.662462908,..,..,..,22.13154927,..,..,..,..,25.87218175,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Mali,MLI,1.895008002,1.715183029,..,..,..,2.219296188,..,..,..,..,2.063359738,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Malta,MLT,4.238600871,5.558396611,..,..,..,8.028849887,..,..,..,..,9.898488069,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Marshall Islands,MHL,2.44820296,3.625313932,..,..,..,5.89188983,..,..,..,..,6.197044893,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Mauritania,MRT,5.517217524,2.115717183,..,..,..,2.357827031,..,..,..,..,3.396676733,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Mauritius,MUS,0.342183897,1.311487306,..,..,..,1.990142241,..,..,..,..,2.24510922,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Mexico,MEX,0.812613997,0.523352183,..,..,..,0.817364771,..,..,..,..,0.939364727,..
International migrant stock (% of population),SM.POP.TOTL.ZS,"Micronesia, Fed. Sts.",FSM,3.825352171,2.900493345,..,..,..,2.707032494,..,..,..,..,2.638330461,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Moldova,MDA,12.46901433,5.899138509,..,..,..,3.860170308,..,..,..,..,3.512106598,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Monaco,MCO,69.15891025,67.91247156,..,..,..,57.35377935,..,..,..,..,55.76846625,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Mongolia,MNG,0.307580312,0.342282053,..,..,..,0.59207633,..,..,..,..,0.595444478,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Montenegro,MNE,..,..,..,..,..,12.62267828,..,..,..,..,13.19007768,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Morocco,MAR,0.220018911,0.183188211,..,..,..,0.220847067,..,..,..,..,0.257467738,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Mozambique,MOZ,0.914838957,1.071486295,..,..,..,0.882397794,..,..,..,..,0.796801385,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Myanmar,MMR,0.317908962,0.205604006,..,..,..,0.147708389,..,..,..,..,0.136014603,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Namibia,NAM,8.523173245,7.081471459,..,..,..,4.668261882,..,..,..,..,3.818401435,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Nauru,NRU,30.74150923,23.83987254,..,..,..,21.06733167,..,..,..,..,31.0898063,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Nepal,NPL,2.294211706,3.023991639,..,..,..,2.153069422,..,..,..,..,1.817645553,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Netherlands,NLD,7.926597265,9.791968248,..,..,..,11.01826159,..,..,..,..,11.69568274,..
International migrant stock (% of population),SM.POP.TOTL.ZS,New Caledonia,NCL,22.35295514,23.6436711,..,..,..,24.82615844,..,..,..,..,24.43390418,..
International migrant stock (% of population),SM.POP.TOTL.ZS,New Zealand,NZL,15.24773556,17.59387844,..,..,..,21.68544621,..,..,..,..,22.95970035,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Nicaragua,NIC,0.999405486,0.604540629,..,..,..,0.65065892,..,..,..,..,0.661982706,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Niger,NER,1.459374278,1.089222232,..,..,..,0.776234211,..,..,..,..,0.951072208,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Nigeria,NGA,0.477550386,0.397049977,..,..,..,0.577148809,..,..,..,..,0.658124088,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Northern Mariana Islands,MNP,60.4771218,58.62875179,..,..,..,44.87189009,..,..,..,..,39.30996913,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Norway,NOR,4.541744539,6.510860785,..,..,..,10.77023036,..,..,..,..,14.23561116,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Oman,OMN,16.77556991,27.8470646,..,..,..,27.72728091,..,..,..,..,41.08587362,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Pakistan,PAK,5.769296732,3.024880484,..,..,..,2.31798117,..,..,..,..,1.920846061,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Palau,PLW,18.56319173,32.9091478,..,..,..,28.27063996,..,..,..,..,26.60278991,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Panama,PAN,2.539204617,2.753940486,..,..,..,4.344945154,..,..,..,..,4.701027527,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Papua New Guinea,PNG,0.786935145,0.467077815,..,..,..,0.37128787,..,..,..,..,0.338376609,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Paraguay,PRY,4.648696882,3.330527846,..,..,..,2.581355476,..,..,..,..,2.356666686,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Peru,PER,0.297915512,0.255810611,..,..,..,0.286195339,..,..,..,..,0.289645141,..
